순위,영화명,개봉일,월,누적매출액 ,누적관객수 ,스크린수 ,대표국적 ,국적 ,배급사 ,등급 ,장르 ,감독 ,감독점수,배우 ,주연NO.1,점수,손익분기점
10,조선명탐정: 흡혈괴마의 비밀,2018-02-08,2,1.98E+10,2444176,1249,한국,한국,(주)쇼박스,2,"코미디,범죄",김석윤,0.175173803,"김명민,오달수",김명민,0.228943492,8160000
38,쎄시봉,2015-02-05,2,1.36E+10,1713619,829,한국,한국,씨제이이앤엠(주),3,"멜로/로맨스,코미디,드라마",김현석,0.2235332,"김윤석,정우,한효주,김희애,진구,장현성,강하늘,조복래,김인권,장미진,강명찬,정수교,조성관,천준호,최남주,최성택,최성택,최충열,송민석,박소담,오하늬,윤준호,이미소,김승찬,이병훈,이상희,이승현,안재홍,이대연,이동훈,권해효",김윤석,0.227169255,
1,박열,2017-06-28,6,1.12E+10,1457427,1176,한국,한국,메가박스중앙(주)플러스엠,2,"드라마,모험,멜로,로맨스",이준익,0.16552174,"이제훈,최희서,김인우,권율,민진웅",이제훈,0.167615158,4080000
26,탐정 홍길동: 사라진 마을,2016-05-04,5,1.15E+10,1429768,764,한국,한국,씨제이이앤엠(주),3,"드라마,액션",조성희,0,"이제훈,김성균,박근형,정성화,고아라,노정의,김하나,유승목,박정원,박지훈,오현암,유정래,윤상훈,이민아,이민지,이상희,정준용",이제훈,0.167615158,
17,기억의 밤,2017-11-29,11,1.07E+10,1387499,759,한국,한국,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",3,범죄,장항준,0.090559308,"강하늘,김무열,문성근",강하늘,0.565278522,3264000
17,특별수사: 사형수의 편지,2016-06-16,6,9.93E+09,1241882,691,한국,한국,(주)넥스트엔터테인먼트월드(NEW),3,"범죄,드라마",권종관,0,"김명민,김상호,성동일,김영애,김향기,김뢰하,박수영,박혁권,최병모,오민석,이지훈,박지환,신구,이한위,이문식,김명국,정택호,차상민,이성욱,이승훈",김명민,0.228943492,
63,해빙,2017-03-01,3,9.91E+09,1204570,915,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,3,스릴러,이수연,0,"조진웅,신구,김대명,송영창,이청아,윤세아",조진웅,0.450589181,
45,동주,2016-02-17,2,8.90E+09,1173860,543,한국,한국,메가박스중앙(주)플러스엠,2,드라마,이준익,0.16552174,"강하늘,박정민,김인우,최홍일,김정석,최희서,신윤주,문성근,최종률,전재형,정운봉,이선주,허욱진",강하늘,0.565278522,
99,"당신, 거기 있어줄래요",2016-12-14,12,9.36E+09,1168625,767,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2,"판타지,드라마",홍지영,0,"김윤석,변요한,채서진,김상호,안세하,박혜수,김호정,한한나",김윤석,0.227169255,
7,하루,2017-06-15,6,9.03E+09,1124153,781,한국,한국,THE 픽쳐스,3,스릴러,조선호,0,"김명민,변요한,유재명,조은형,신혜선",김명민,0.228943492,5086400
11,간신,2015-05-21,5,8.95E+09,1110071,697,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,4,사극,민규동,0.009148406,"주지훈,김강우,천호진,임지연,이유영,김현수,문희경,박시영,박아영,임효우,전미정,전태호,박은영,박은영,박재성,박주희,박지수,정수지,정재우,배효진,조명행,조용완,송영창,차지연,성진아,최창훈,신동필,양정민,염재민,한진구,이보라,홍의정,황동희,이상철,이소희,이솔,이슬기,이승주,이용호,이용호,이윤지,김태희,서영주,기주봉,장광,류선영,김강일,정만식,최일화",주지훈,0.269047938,
28,허삼관,2015-01-14,1,7.40E+09,954835,621,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2,드라마,하정우,0,"하정우,하지원,전혜진,장광,주진모,성동일,이경영,김영애,정만식,조진웅,김기천,김성균,윤은혜,황보라,강민지,전현석,정우진,이경원,이민호,이수인,이승준,이승호,김재화,김시은",하정우,0.510277183,
25,살인의뢰,2015-03-12,3,6.99E+09,855920,646,한국,한국,씨네그루(주)다우기술,4,"범죄,스릴러",손용호,0,"김상경,김성균,박성웅,윤승아,조재윤,김의성,기주봉,홍성덕,오대환,이정훈,이진수,박소희,박일우,박혜미,송영창,태욱,김덕순,이다희,이상인,이용출,임종윤",김상경,0.051385913,
36,대립군,2017-05-31,5,6.27E+09,836886,809,한국,한국,이십세기폭스코리아(주),3,"역사,드라마",정윤철,0,"이정재,여진구,김무열,이솜,박원상,배수빈,김명곤,박해준",이정재,0.062566952,8976000
53,스플릿,2016-11-09,11,6.10E+09,758094,702,한국,한국,오퍼스픽쳐스,3,드라마,최국희,0,"유지태,이정현,이다윗,정성화,김지은,김태훈,신민수,윤수현,이정주,이지수,조선묵,조수정,최승",유지태,0.121987145,
